id;nombre;precio;precioold;descripcion;colores;capacidad;marca;img;stock
1;iPhone 19;1050;1200;Garantía 12 meses;Blanco, Negro;64GB,128GB;Apple smartphone;iPhone 11.png;5
2;iPhone 11;1150;1300;Garantía 12 meses;Blanco, Negro;128GB;Apple smartphone;iPhone 11.png;6
3;iPhone 11 Pro;1350;1500;Garantía 12 meses;Blanco;64GB;Apple smartphone;iPhone 11 Pro.png;2
4;iPhone 12;1300;1450;Garantía 12 meses;Azul, Blanco, Negro;64GB;Apple smartphone;iPhone 12.png;1
5;iPhone 12;1400;1550;Garantía 12 meses;Azul, Blanco, Negro;128GB;Apple smartphone;iPhone 12.png;3
6;iPhone 12 Pro;1750;1900;Garantía 12 meses;Dorado, Azul Sierra, Negro;128GB;Apple smartphone;iPhone 12 Pro.png;5
7;iPhone 12 Pro;1850;2000;Garantía 12 meses;Dorado, Azul Sierra, Negro;256GB;Apple smartphone;iPhone 12 Pro.png;5
8;iPhone 12 Pro Max;2050;2200;Garantía 12 meses;Dorado, Azul Sierra, Negro;128GB;Apple smartphone;iPhone 12 Pro Max.png;5
9;iPhone 12 Pro Max;2150;2300;Garantía 12 meses;Dorado, Azul Sierra, Negro;256GB;Apple smartphone;iPhone 12 Pro Max.png;5
10;iPhone 13;1800;1950;Garantía 12 meses;Blanco, Azul, Negro;128GB;Apple smartphone;iPhone 13.png;6
11;iPhone 13 Pro;2400;2550;Garantía 12 meses;Dorado, Azul Sierra, Negro;128GB;Apple smartphone;iPhone 13 Pro.png;2
12;iPhone 13 Pro;2500;2650;Garantía 12 meses;Dorado, Azul Sierra, Negro;256GB;Apple smartphone;iPhone 13 Pro.png;1
13;iPhone 13 Pro Max;2700;2850;Garantía 12 meses;Dorado, Azul Sierra, Negro;128GB;Apple smartphone;iPhone 13 Pro Max.png;3
14;iPhone 13 Pro Max;2850;3000;Garantía 12 meses;Dorado, Azul Sierra, Negro;256GB;Apple smartphone;iPhone 13 Pro Max.png;5
15;iPhone 14;2000;2150;Garantía 12 meses;Blanco, Celeste, Negro;128GB;Apple smartphone;iPhone 14.png;6
16;iPhone 14 Pro;2600;2750;Garantía 12 meses;Dorado, Morado, Negro, Blanco;128GB;Apple smartphone;iPhone 14 Pro.png;2
17;iPhone 14 Pro;2700;2850;Garantía 12 meses;Dorado, Morado, Negro, Blanco;256GB;Apple smartphone;iPhone 14 Pro.png;1
18;iPhone 14 Pro Max;3000;3150;Garantía 12 meses;Dorado, Morado, Negro, Blanco;128GB;Apple smartphone;iPhone 14 Pro Max.png;3
19;iPhone 14 Pro Max;3200;3350;Garantía 12 meses;Dorado, Morado, Negro, Blanco;256GB;Apple smartphone;iPhone 14 Pro Max.png;5
20;iPhone 15;2400;2550;Garantía 12 meses;Blanco, Negro, Celeste;128GB;Apple smartphone;iPhone 15.png;6
21;iPhone 15 Pro;2900;3050;Garantía 12 meses;Titanio Natural, Negro, Blanco;128GB;Apple smartphone;iPhone 15 Pro.png;2
22;iPhone 15 Pro;3100;3250;Garantía 12 meses;Titanio Natural, Negro, Blanco;256GB;Apple smartphone;iPhone 15 Pro.png;1
23;iPhone 15 Pro Max;3550;3700;Garantía 12 meses;Titanio Natural, Negro, Blanco;256GB;Apple smartphone;iPhone 15 Pro Max.png;3
24;iPhone 16;2850;3000;Garantía 12 meses;Azul, Negro, Blanco;128GB;Apple smartphone;iPhone 16.png;5
25;iPhone 16 Pro;3600;3750;Garantía 12 meses;Titanio Natural, Negro, Desierto;128GB;Apple smartphone;iPhone 16 Pro.png;6
26;iPhone 16 Pro;3700;3850;Garantía 12 meses;Titanio Natural, Negro, Desierto;256GB;Apple smartphone;iPhone 16 Pro.png;2
27;iPhone 16 Pro Max;4400;4550;Garantía 12 meses;Titanio Natural, Negro, Desierto;256GB;Apple smartphone;iPhone 16 Pro Max.png;1
28;Macbook 4;4400;4550;Garantía 12 meses;Titanio Natural, Negro, Desierto;1TB;Macbook;Macbook 4.png;0
29;Macbook 5;4400;4550;Garantía 12 meses;Azul, Negro, Desierto;1TB;Macbook;Macbook 4.png;3
29;Bicicleta Montañera;4400;4550;Garantía 12 meses;Azul, Negro, Desierto;kilometraje 50km;Bicicleta;Bicleta.png;1
